DisNo.,ISO,Country,Disaster Type,Disaster Subtype,Associated Types,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",AID Contribution ('000 US$),Event Name,Location,ISO3,country_role,disaster_category,event_year,event_month,year_month,log_affected,log_deaths,norm_affected,norm_deaths,severity_score,severity_data_flag
2022-0400-NIC,NIC,Nicaragua,Storm,Tropical cyclone,Flood,2022,7,2.0,2022,7,2.0,4.0,12.0,3000.0,,3012.0,,,,Tropical storm 'Bonnie',,NIC,tier1,storm,2022,7,2022-07,8.0106915391303,1.6094379124341003,0.5224042807661634,0.20491970066183332,0.3637,ok
2022-0647-HND,HND,Honduras,Storm,Tropical cyclone,,2022,10,9.0,2022,10,9.0,5.0,,144000.0,,144000.0,,,,Hurricane 'Julia',,HND,tier1,storm,2022,10,2022-10,11.87757552297847,1.791759469228055,0.7745768599399852,0.2281335684064497,0.5014,ok
2022-0603-PRI,PRI,Puerto Rico,Storm,Tropical cyclone,"Flood|Slide (land, mud, snow, rock)",2022,9,17.0,2022,9,18.0,25.0,,,,,2500000.0,2679683.0,,Hurricane 'Fiona',,PRI,tier1,storm,2022,9,2022-09,0.0,3.258096538021482,0.0,0.4148331303373935,0.2074,ok
2024-0901-HTI,HTI,Haiti,Flood,Flood (General),"Slide (land, mud, snow, rock)",2024,11,30.0,2024,12,4.0,16.0,25.0,155000.0,,155025.0,,,,,Grand-Anse department and the South department,HTI,tier1,flood,2024,11,2024-11,11.951348123769762,2.833213344056216,0.7793878206751937,0.3607354007816589,0.5701,ok
2024-0953-HTI,HTI,Haiti,Flood,Flood (General),,2024,12,20.0,2024,12,28.0,14.0,15.0,1000.0,,1015.0,,,,,"Grand'Anse, Nippes and North-West departments",HTI,tier1,flood,2024,12,2024-12,6.923628628138427,2.70805020110221,0.4515132327972966,0.34479915770581465,0.3982,ok
2022-0743-COL,COL,Colombia,Flood,Flood (General),"Slide (land, mud, snow, rock)",2022,11,14.0,2022,11,15.0,7.0,,270.0,,270.0,,,,,Bogotá area; North Santander department; La Calera municipality (Cundinamarca Department),COL,pressure_input,flood,2022,11,2022-11,5.602118820879701,2.0794415416798357,0.3653331100183615,0.2647623340874051,0.315,ok
2022-0757-PAN,PAN,Panama,Flood,Flood (General),,2022,11,18.0,2022,11,21.0,,,150.0,,150.0,,,,,"El Cacao, Tonosí Centro, El Manantial, Pueblo Nuevo, La Nestlé, La Rabelo, El Bado, Bongo, and Villa Bonita (Los Santos province); Corinth, Bois drorange, and Grande Riviere in Gros Islet Districts (Herrera province)",PAN,tier1,flood,2022,11,2022-11,5.017279836814924,0.0,0.32719378242823144,0.0,0.1636,ok
2022-0846-TTO,TTO,Trinidad and Tobago,Flood,Riverine flood,"Slide (land, mud, snow, rock)",2022,11,26.0,2022,12,5.0,,,100000.0,,100000.0,,,,,"Bamboo #2, Valsayn South, Real Spring Gardens, Kelly Village, Madras Road and El Carmen, St. Helena",TTO,tier1,flood,2022,11,2022-11,11.51293546492023,0.0,0.7507974488444571,0.0,0.3754,ok
2019-0233-SLV,SLV,El Salvador,Earthquake,Ground movement,"Slide (land, mud, snow, rock)",2019,5,30.0,2019,5,30.0,1.0,,160.0,,160.0,,,,,San Martín municipality (San Salvador Department),SLV,tier1,earthquake,2019,5,2019-05,5.081404364984463,0.6931471805599453,0.33137555972601446,0.08825411136246838,0.2098,ok
2022-0719-BLZ,BLZ,Belize,Storm,Tropical cyclone,,2022,11,2.0,2022,11,3.0,,,172000.0,150.0,172150.0,100000.0,107187.0,,Hurricane 'Lisa',Dangriga and Belize City,BLZ,tier1,storm,2022,11,2022-11,12.056127277637396,0.0,0.7862208235748974,0.0,0.3931,ok
