ISO3,Country,country_role,year_month,event_year,event_month,event_count,max_severity,mean_severity,sum_affected,sum_deaths,disaster_types,has_storm,has_flood,has_earthquake,has_drought,has_heatwave,compound_event
BHS,Bahamas,tier1,2019-09,2019,9,1,0.6876,0.6876,14940.0,356.0,storm,1,0,0,0,0,0
BLZ,Belize,tier1,2020-11,2020,11,1,0.3587,0.3587,60000.0,0.0,storm,1,0,0,0,0,0
BLZ,Belize,tier1,2022-11,2022,11,1,0.3931,0.3931,172150.0,0.0,storm,1,0,0,0,0,0
BLZ,Belize,tier1,2024-11,2024,11,1,0.1661,0.1661,162.0,0.0,storm,1,0,0,0,0,0
BRB,Barbados,tier1,2021-07,2021,7,1,0.2642,0.2642,3300.0,0.0,storm,1,0,0,0,0,0
BRB,Barbados,tier1,2023-06,2023,6,1,0.1693,0.1693,179.0,0.0,storm,1,0,0,0,0,0
BRB,Barbados,tier1,2024-07,2024,7,1,0.2551,0.2551,2500.0,0.0,storm,1,0,0,0,0,0
COL,Colombia,pressure_input,2019-02,2019,2,1,0.2969,0.2969,9000.0,0.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2019-04,2019,4,1,0.4139,0.4139,1647.0,14.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2019-10,2019,10,1,0.5217,0.5217,23250.0,20.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2019-12,2019,12,2,0.2837,0.23555,6000.0,18.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2020-02,2020,2,1,0.3375,0.3375,157.0,14.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2020-07,2020,7,1,0.4943,0.4943,30000.0,11.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2020-10,2020,10,1,0.332,0.332,26460.0,0.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2020-11,2020,11,2,0.6046,0.47865,277800.0,23.0,storm,1,0,0,0,0,0
COL,Colombia,pressure_input,2021-04,2021,4,4,0.2807,0.261575,9439.0,3.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2021-06,2021,6,1,0.2777,0.2777,150.0,5.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2021-09,2021,9,2,0.4918,0.36985,25717.0,12.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2021-10,2021,10,1,0.2899,0.2899,850.0,2.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2021-11,2021,11,2,0.3113,0.24875000000000003,14301.0,0.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2022-02,2022,2,1,0.2857,0.2857,1650.0,1.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2022-03,2022,3,1,0.4336,0.4336,5514.0,10.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2022-04,2022,4,3,0.4075,0.2903,8126.0,37.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2022-05,2022,5,1,0.2777,0.2777,5000.0,0.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2022-08,2022,8,1,0.3922,0.3922,167250.0,0.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2022-10,2022,10,2,0.5584,0.41805000000000003,49002.0,26.0,flood|storm,1,1,0,0,0,1
COL,Colombia,pressure_input,2022-11,2022,11,1,0.315,0.315,270.0,7.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2023-03,2023,3,1,0.3184,0.3184,4500.0,1.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2023-10,2023,10,1,0.3464,0.3464,41088.0,0.0,flood,0,1,0,0,0,0
COL,Colombia,pressure_input,2024-01,2024,1,1,0.4548,0.4548,1143043.0,0.0,drought,0,0,0,1,0,0
COL,Colombia,pressure_input,2024-05,2024,5,1,0.2922,0.2922,7806.0,0.0,storm,1,0,0,0,0,0
