iso3,year,month,disaster_count,pa_declared,ia_declared,major_dr_declared,incident_types,fema_event_flag
PRI,2019,2019-01-01,0,0,0,0,,fema_no_event
PRI,2019,2019-02-01,0,0,0,0,,fema_no_event
PRI,2019,2019-03-01,0,0,0,0,,fema_no_event
PRI,2019,2019-04-01,0,0,0,0,,fema_no_event
PRI,2019,2019-05-01,0,0,0,0,,fema_no_event
PRI,2019,2019-06-01,0,0,0,0,,fema_no_event
PRI,2019,2019-07-01,0,0,0,0,,fema_no_event
PRI,2019,2019-08-01,1,1,0,0,Severe Storm,fema_disaster
PRI,2019,2019-09-01,0,0,0,0,,fema_no_event
PRI,2019,2019-10-01,0,0,0,0,,fema_no_event
PRI,2019,2019-11-01,0,0,0,0,,fema_no_event
PRI,2019,2019-12-01,2,1,0,1,Earthquake,fema_disaster
PRI,2020,2020-01-01,2,1,0,1,Biological,fema_disaster
PRI,2020,2020-02-01,0,0,0,0,,fema_no_event
PRI,2020,2020-03-01,0,0,0,0,,fema_no_event
PRI,2020,2020-04-01,0,0,0,0,,fema_no_event
PRI,2020,2020-05-01,0,0,0,0,,fema_no_event
PRI,2020,2020-06-01,0,0,0,0,,fema_no_event
PRI,2020,2020-07-01,2,1,0,1,Hurricane,fema_disaster
PRI,2020,2020-08-01,1,1,0,0,Hurricane,fema_disaster
PRI,2020,2020-09-01,1,0,0,1,Flood,fema_disaster
PRI,2020,2020-10-01,0,0,0,0,,fema_no_event
PRI,2020,2020-11-01,0,0,0,0,,fema_no_event
PRI,2020,2020-12-01,0,0,0,0,,fema_no_event
PRI,2021,2021-01-01,0,0,0,0,,fema_no_event
PRI,2021,2021-02-01,0,0,0,0,,fema_no_event
PRI,2021,2021-03-01,0,0,0,0,,fema_no_event
PRI,2021,2021-04-01,0,0,0,0,,fema_no_event
PRI,2021,2021-05-01,0,0,0,0,,fema_no_event
PRI,2021,2021-06-01,0,0,0,0,,fema_no_event
PRI,2021,2021-07-01,0,0,0,0,,fema_no_event
PRI,2021,2021-08-01,0,0,0,0,,fema_no_event
PRI,2021,2021-09-01,0,0,0,0,,fema_no_event
PRI,2021,2021-10-01,0,0,0,0,,fema_no_event
PRI,2021,2021-11-01,0,0,0,0,,fema_no_event
PRI,2021,2021-12-01,0,0,0,0,,fema_no_event
PRI,2022,2022-01-01,0,0,0,0,,fema_no_event
PRI,2022,2022-02-01,1,0,0,1,Flood,fema_disaster
PRI,2022,2022-03-01,0,0,0,0,,fema_no_event
PRI,2022,2022-04-01,0,0,0,0,,fema_no_event
PRI,2022,2022-05-01,0,0,0,0,,fema_no_event
PRI,2022,2022-06-01,0,0,0,0,,fema_no_event
PRI,2022,2022-07-01,0,0,0,0,,fema_no_event
PRI,2022,2022-08-01,0,0,0,0,,fema_no_event
PRI,2022,2022-09-01,2,1,0,1,Hurricane,fema_disaster
PRI,2022,2022-10-01,0,0,0,0,,fema_no_event
PRI,2022,2022-11-01,0,0,0,0,,fema_no_event
PRI,2022,2022-12-01,0,0,0,0,,fema_no_event
PRI,2023,2023-01-01,0,0,0,0,,fema_no_event
PRI,2023,2023-02-01,0,0,0,0,,fema_no_event
PRI,2023,2023-03-01,0,0,0,0,,fema_no_event
PRI,2023,2023-04-01,0,0,0,0,,fema_no_event
PRI,2023,2023-05-01,0,0,0,0,,fema_no_event
PRI,2023,2023-06-01,0,0,0,0,,fema_no_event
PRI,2023,2023-07-01,0,0,0,0,,fema_no_event
PRI,2023,2023-08-01,0,0,0,0,,fema_no_event
PRI,2023,2023-09-01,0,0,0,0,,fema_no_event
PRI,2023,2023-10-01,0,0,0,0,,fema_no_event
PRI,2023,2023-11-01,0,0,0,0,,fema_no_event
PRI,2023,2023-12-01,0,0,0,0,,fema_no_event
PRI,2024,2024-01-01,0,0,0,0,,fema_no_event
PRI,2024,2024-02-01,0,0,0,0,,fema_no_event
PRI,2024,2024-03-01,0,0,0,0,,fema_no_event
PRI,2024,2024-04-01,1,1,0,1,Flood,fema_disaster
PRI,2024,2024-05-01,0,0,0,0,,fema_no_event
PRI,2024,2024-06-01,0,0,0,0,,fema_no_event
PRI,2024,2024-07-01,0,0,0,0,,fema_no_event
PRI,2024,2024-08-01,2,1,0,1,"Severe Storm,Tropical Storm",fema_disaster
PRI,2024,2024-09-01,0,0,0,0,,fema_no_event
PRI,2024,2024-10-01,0,0,0,0,,fema_no_event
PRI,2024,2024-11-01,0,0,0,0,,fema_no_event
PRI,2024,2024-12-01,0,0,0,0,,fema_no_event
