iso3,year,month,source_country,source_org,dest_org,sector,amount_usd,is_cerf,is_echo,country_role
BHS,2019,3,Multilateral,United States Fund for UNICEF,United Nations Children's Fund,Education,19800,False,False,tier1
BHS,2019,9,Multilateral,United States Fund for UNICEF,United Nations Children's Fund,Unearmarked,1000000,False,False,tier1
BHS,2019,9,Multilateral,Central Emergency Response Fund,United Nations Population Fund,Protection,202150,True,False,tier1
BHS,2019,10,Multilateral,Central Emergency Response Fund,World Food Programme,Coordination and support services,400000,True,False,tier1
BHS,2019,10,Norway,"Norway, Government of",Norwegian Red Cross,Unearmarked,216638,False,False,tier1
BHS,2019,10,Norway,"Norway, Government of",World Food Programme,Food Security,216638,False,False,tier1
BHS,2019,10,Multilateral,Central Emergency Response Fund,International Organization for Migration,Coordination and support services,200001,True,False,tier1
BHS,2019,10,Multilateral,Central Emergency Response Fund,International Organization for Migration,Emergency Shelter and NFI,200000,True,False,tier1
BHS,2020,1,Multilateral,United States Fund for UNICEF,United Nations Children's Fund,Unearmarked,142679,False,False,tier1
BHS,2020,8,United Arab Emirates,"United Arab Emirates, Government of","Bahamas, Government of",Health,286286,False,False,tier1
BHS,2021,4,Qatar,Qatar Charity,Qatar Charity,Health,174091,False,False,tier1
BHS,2023,9,United States,United States Department of State,International Organization for Migration,Multi-sector,373731,False,False,tier1
BHS,2024,6,Japan,"Japan, Government of",United Nations Industrial Development Organization,Other,4627282,False,False,tier1
BHS,2024,11,United States,United States Department of State,International Organization for Migration,Multi-sector,515693,False,False,tier1
BLZ,2020,5,Multilateral,UN COVID-19 Response and Recovery Fund,United Nations Population Fund,Unearmarked,32635,False,False,tier1
BLZ,2020,7,United States,"United States of America, Government of",United Nations Children's Fund,COVID-19,300000,False,False,tier1
BLZ,2020,8,United Arab Emirates,"United Arab Emirates, Government of","Belize, Government of",Health,286286,False,False,tier1
BLZ,2020,11,Multilateral,COVID-19 Humanitarian Thematic Fund,United Nations Children's Fund,Unearmarked,94500,False,False,tier1
BLZ,2020,11,United States,"United States of America, Government of",United Nations Children's Fund,Unearmarked,30000,False,False,tier1
BLZ,2022,2,Japan,"Japan, Government of",Multi-donor flexible humanitarian contribution (UNICEF Regional Humanitarian Thematic),Health,10000000,False,False,tier1
BLZ,2022,2,Switzerland,"Switzerland, Government of",International Committee of the Red Cross,Protection,1616379,False,False,tier1
BLZ,2022,5,United States,"United States of America, Government of",United Nations Children's Fund,Multi-sector,1000000,False,False,tier1
BLZ,2022,6,United States,"United States of America, Government of",United Nations Children's Fund,Multi-sector,1800000,False,False,tier1
BLZ,2022,6,Multilateral,UN Trust Fund to End Violence against Women,Promoting Empowerment Through Awareness for Lesbian and Bisexual Women,Protection - Gender-Based Violence,50000,False,False,tier1
BLZ,2022,11,Canada,"Canada, Government of",International Federation of Red Cross and Red Crescent Societies,Emergency Shelter and NFI,23493,False,False,tier1
BLZ,2023,3,United States,United States Department of State,United Nations High Commissioner for Refugees,Multi-sector,100000,False,False,tier1
BLZ,2023,4,Japan,"Japan, Government of","Brazil, Government of",Emergency Shelter and NFI,3480525,False,False,tier1
BLZ,2023,5,United States,United States Department of State,United Nations High Commissioner for Refugees,Multi-sector,1000000,False,False,tier1
BLZ,2023,5,Switzerland,"Switzerland, Government of",United Nations High Commissioner for Refugees,Unearmarked,524659,False,False,tier1
BLZ,2023,5,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,United Nations Children's Fund,Protection,175429,False,True,tier1
BLZ,2023,5,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,United Nations Children's Fund,Education,99209,False,True,tier1
BLZ,2023,6,Multilateral,UN Trust Fund to End Violence against Women,Promoting Empowerment Through Awareness for Lesbian and Bisexual Women,Protection - Gender-Based Violence,50000,False,False,tier1
BLZ,2023,7,United States,United States Department of State,United Nations Children's Fund,Protection,538180,False,False,tier1
BLZ,2023,7,United States,United States Department of State,United Nations Children's Fund,Education,451820,False,False,tier1
BLZ,2023,7,United States,United States Department of State,United Nations Children's Fund,Health,444506,False,False,tier1
BLZ,2023,7,United States,United States Department of State,United Nations Children's Fund,Nutrition,305856,False,False,tier1
BLZ,2023,7,United States,United States Department of State,United Nations Children's Fund,Protection - Child Protection,259638,False,False,tier1
BLZ,2023,7,Spain,"Spain, Government of",International Committee of the Red Cross,Protection,72062,False,False,tier1
BLZ,2023,9,United States,United States Department of State,United Nations High Commissioner for Refugees,Multi-sector,900000,False,False,tier1
BLZ,2023,12,United States,United States Department of State,International Organization for Migration,Multi-sector,431916,False,False,tier1
BLZ,2024,2,Norway,"Norway, Government of",Norwegian Red Cross,Unearmarked,957396,False,False,tier1
BLZ,2024,3,Norway,"Norway, Government of",Norwegian Refugee Council,Unearmarked,1033242,False,False,tier1
BLZ,2024,3,Norway,"Norway, Government of",Norwegian Red Cross,Unearmarked,294229,False,False,tier1
BLZ,2024,5,United States,United States Department of State,United Nations Children's Fund,Health,374876,False,False,tier1
BLZ,2024,5,United States,United States Department of State,United Nations Children's Fund,Protection - Child Protection,234126,False,False,tier1
BLZ,2024,5,United States,United States Department of State,United Nations Children's Fund,Education,168784,False,False,tier1
BLZ,2024,5,United States,United States Department of State,United Nations Children's Fund,Multi-sector,122213,False,False,tier1
BLZ,2024,6,Japan,"Japan, Government of",United Nations Industrial Development Organization,Other,4627282,False,False,tier1
BLZ,2024,6,Multilateral,UN Trust Fund to End Violence against Women,Promoting Empowerment Through Awareness for Lesbian and Bisexual Women,Protection - Gender-Based Violence,50000,False,False,tier1
BLZ,2024,6,United States,United States Department of State,United Nations Children's Fund,Unearmarked,1,False,False,tier1
BLZ,2024,8,United States,United States Department of State,United Nations Children's Fund,Multi-sector,1100000,False,False,tier1
BLZ,2024,9,United States,United States Department of State,International Organization for Migration,Multi-sector,399915,False,False,tier1
BLZ,2024,10,Norway,"Norway, Government of",Norwegian Refugee Council,Unearmarked,1129908,False,False,tier1
BLZ,2024,11,United States,United States Department of State,United Nations High Commissioner for Refugees,Multi-sector,1750000,False,False,tier1
BRB,2019,3,Multilateral,United States Fund for UNICEF,United Nations Children's Fund,Education,19800,False,False,tier1
BRB,2020,4,United States,"United States of America, Government of",United Nations Children's Fund,Water Sanitation Hygiene,500000,False,False,tier1
BRB,2020,4,Multilateral,United Nations Children's Fund,United Nations Children's Fund,Multi-sector,279879,False,False,tier1
BRB,2020,4,Multilateral,United Nations Children's Fund,United Nations Children's Fund,Education,78957,False,False,tier1
BRB,2020,8,United Arab Emirates,"United Arab Emirates, Government of","Barbados, Government of",Health,550286,False,False,tier1
BRB,2020,11,United States,"United States of America, Government of",United Nations Children's Fund,Unearmarked,366282,False,False,tier1
BRB,2022,2,Japan,"Japan, Government of",Multi-donor flexible humanitarian contribution (UNICEF Regional Humanitarian Thematic),Health,10000000,False,False,tier1
