iso3,year,month,country_role,funding_usd,flow_count,has_cerf,has_echo,sector_mix
BHS,2019,3,tier1,19800,1,0,0,Education
BHS,2019,9,tier1,1202150,2,1,0,Protection | Unearmarked
BHS,2019,10,tier1,1233277,5,1,0,Coordination and support services | Emergency Shelter and NFI | Food Security | Unearmarked
BHS,2020,1,tier1,142679,1,0,0,Unearmarked
BHS,2020,8,tier1,286286,1,0,0,Health
BHS,2021,4,tier1,174091,1,0,0,Health
BHS,2023,9,tier1,373731,1,0,0,Multi-sector
BHS,2024,6,tier1,4627282,1,0,0,Other
BHS,2024,11,tier1,515693,1,0,0,Multi-sector
BLZ,2020,5,tier1,32635,1,0,0,Unearmarked
BLZ,2020,7,tier1,300000,1,0,0,COVID-19
BLZ,2020,8,tier1,286286,1,0,0,Health
BLZ,2020,11,tier1,124500,2,0,0,Unearmarked
BLZ,2022,2,tier1,11616379,2,0,0,Health | Protection
BLZ,2022,5,tier1,1000000,1,0,0,Multi-sector
BLZ,2022,6,tier1,1850000,2,0,0,Multi-sector | Protection - Gender-Based Violence
BLZ,2022,11,tier1,23493,1,0,0,Emergency Shelter and NFI
BLZ,2023,3,tier1,100000,1,0,0,Multi-sector
BLZ,2023,4,tier1,3480525,1,0,0,Emergency Shelter and NFI
BLZ,2023,5,tier1,1799297,4,0,1,Education | Multi-sector | Protection | Unearmarked
BLZ,2023,6,tier1,50000,1,0,0,Protection - Gender-Based Violence
BLZ,2023,7,tier1,2072062,6,0,0,Education | Health | Nutrition | Protection | Protection - Child Protection
BLZ,2023,9,tier1,900000,1,0,0,Multi-sector
BLZ,2023,12,tier1,431916,1,0,0,Multi-sector
BLZ,2024,2,tier1,957396,1,0,0,Unearmarked
BLZ,2024,3,tier1,1327471,2,0,0,Unearmarked
BLZ,2024,5,tier1,899999,4,0,0,Education | Health | Multi-sector | Protection - Child Protection
BLZ,2024,6,tier1,4677283,3,0,0,Other | Protection - Gender-Based Violence | Unearmarked
BLZ,2024,8,tier1,1100000,1,0,0,Multi-sector
BLZ,2024,9,tier1,399915,1,0,0,Multi-sector
BLZ,2024,10,tier1,1129908,1,0,0,Unearmarked
BLZ,2024,11,tier1,1750000,1,0,0,Multi-sector
BRB,2019,3,tier1,19800,1,0,0,Education
BRB,2020,4,tier1,858836,3,0,0,Education | Multi-sector | Water Sanitation Hygiene
BRB,2020,8,tier1,550286,1,0,0,Health
BRB,2020,11,tier1,366282,1,0,0,Unearmarked
BRB,2022,2,tier1,10000000,1,0,0,Health
BRB,2022,3,tier1,12250712,1,0,0,Food Security
BRB,2022,6,tier1,894200,1,0,0,Health
BRB,2022,7,tier1,150000,1,0,0,Food Security
BRB,2023,4,tier1,200000,2,0,0,Early Recovery | Protection - Child Protection
BRB,2023,6,tier1,302111,2,0,1,Education | Health
BRB,2024,6,tier1,5113550,2,0,0,Coordination and support services | Other
BRB,2024,9,tier1,30816,1,0,0,Multi-sector
BRB,2024,10,tier1,149394,1,0,0,Education
BRB,2024,11,tier1,150000,1,0,0,Multi-sector
COL,2019,1,pressure,3415960,13,0,1,Multi-sector
COL,2019,2,pressure,24851424,29,0,1,Coordination and support services | Health | Multi-sector | Unearmarked
COL,2019,3,pressure,25202067,19,0,0,Coordination and support services | Food Security | Health | Multi-sector | Unearmarked
COL,2019,4,pressure,36057512,36,1,1,Education | Food Security | Health | Multi-sector | Protection | Protection - Mine Action | Unearmarked | Water Sanitation Hygiene
COL,2019,5,pressure,10337158,10,0,0,Multi-sector | Protection - Mine Action | Unearmarked
COL,2019,6,pressure,36435545,40,1,1,Food Security | Health | Multi-sector | Protection | Protection - Child Protection | Protection - Mine Action | Unearmarked | Water Sanitation Hygiene
COL,2019,7,pressure,20977040,18,0,1,Education | Multi-sector | Protection - Mine Action | Unearmarked
COL,2019,8,pressure,21920240,8,0,0,Multi-sector | Protection - Gender-Based Violence
COL,2019,9,pressure,11029333,10,1,1,Agriculture | Coordination and support services | Education | Multi-sector | Protection | Unearmarked
COL,2019,10,pressure,14623717,8,1,1,Coordination and support services | Health | Multi-sector | Protection
COL,2019,11,pressure,900758,3,0,0,Health | Unearmarked
COL,2019,12,pressure,680278,3,0,0,Coordination and support services | Multi-sector
