iso3,year,month,inform_risk_score,hazard_exposure,vulnerability,lack_coping_capacity,natural_hazard,socioeconomic_vulnerability,infrastructure_coping,inform_data_flag
BHS,2019,2019-01-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-02-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-03-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-04-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-05-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-06-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-07-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-08-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-09-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-10-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-11-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2019,2019-12-01,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2020,2020-01-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-02-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-03-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-04-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-05-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-06-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-07-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-08-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-09-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-10-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-11-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2020,2020-12-01,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2021,2021-01-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-02-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-03-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-04-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-05-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-06-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-07-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-08-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-09-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-10-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-11-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2021,2021-12-01,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2022,2022-01-01,2.2,1.9,1.9,3.1,3.5,2.4,2.3,inform_annual
BHS,2022,2022-02-01,2.2,1.9,1.9,3.1,3.5,2.4,2.3,inform_annual
BHS,2022,2022-03-01,2.2,1.9,1.9,3.1,3.5,2.4,2.3,inform_annual
BHS,2022,2022-04-01,2.2,1.9,1.9,3.1,3.5,2.4,2.3,inform_annual
BHS,2022,2022-05-01,2.2,1.9,1.9,3.1,3.5,2.4,2.3,inform_annual
