iso3,year,inform_risk_score,hazard_exposure,vulnerability,lack_coping_capacity,natural_hazard,socioeconomic_vulnerability,infrastructure_coping,inform_data_flag
BHS,2019,2.2,1.9,1.7,3.1,3.5,2.0,2.4,inform_annual
BHS,2020,2.3,1.9,2.1,3.1,3.5,2.3,2.2,inform_annual
BHS,2021,2.3,1.9,2.0,3.2,3.5,2.4,2.2,inform_annual
BHS,2022,2.2,1.9,1.9,3.1,3.5,2.4,2.3,inform_annual
BHS,2023,2.3,2.0,2.0,3.1,3.5,2.0,2.3,inform_annual
BHS,2024,2.3,2.0,1.9,3.3,3.5,1.9,2.3,inform_annual
BLZ,2019,3.4,2.1,3.6,5.1,3.7,4.2,3.7,inform_annual
BLZ,2020,3.3,2.1,3.5,5.1,3.8,4.1,3.7,inform_annual
BLZ,2021,3.7,2.1,4.7,5.1,3.7,4.4,3.8,inform_annual
BLZ,2022,3.5,2.1,4.2,5.0,3.7,4.5,3.7,inform_annual
BLZ,2023,3.7,2.1,5.0,4.8,3.8,4.5,3.7,inform_annual
BLZ,2024,3.7,2.1,4.9,4.8,3.8,4.3,3.7,inform_annual
BRB,2019,2.1,2.4,1.5,2.6,4.3,2.5,1.9,inform_annual
BRB,2020,2.1,2.4,1.5,2.6,4.3,2.5,1.9,inform_annual
BRB,2021,2.1,2.4,1.5,2.7,4.3,2.4,2.0,inform_annual
BRB,2022,2.1,2.4,1.5,2.6,4.3,2.4,1.9,inform_annual
BRB,2023,2.1,2.4,1.5,2.6,4.3,2.4,1.8,inform_annual
BRB,2024,2.1,2.4,1.6,2.5,4.3,2.4,1.8,inform_annual
COL,2019,5.3,7.3,6.0,3.4,6.4,3.6,3.0,inform_annual
COL,2020,5.2,7.3,6.0,3.3,6.4,3.6,2.9,inform_annual
COL,2021,5.3,7.3,6.2,3.2,6.4,3.8,2.8,inform_annual
COL,2022,5.3,7.4,6.2,3.2,6.4,3.9,2.7,inform_annual
COL,2023,5.2,7.3,6.1,3.1,6.4,3.8,2.6,inform_annual
COL,2024,5.2,7.5,6.1,3.1,6.4,3.8,2.6,inform_annual
CRI,2019,2.7,3.3,2.8,2.2,5.4,2.0,1.9,inform_annual
CRI,2020,2.9,3.3,3.4,2.2,5.4,2.0,1.9,inform_annual
CRI,2021,3.0,3.3,3.5,2.3,5.4,2.0,1.9,inform_annual
CRI,2022,3.1,3.3,4.0,2.3,5.4,2.0,2.0,inform_annual
CRI,2023,3.3,3.3,4.7,2.3,5.4,2.1,1.9,inform_annual
CRI,2024,3.2,3.3,4.4,2.2,5.4,2.2,1.8,inform_annual
CUB,2019,3.4,3.5,2.9,3.8,4.9,2.9,1.8,inform_annual
CUB,2020,3.3,3.5,2.8,3.8,4.9,2.6,1.8,inform_annual
CUB,2021,2.7,3.5,1.5,3.8,4.9,2.5,1.7,inform_annual
CUB,2022,2.7,3.5,1.5,3.8,4.9,2.5,1.5,inform_annual
CUB,2023,3.3,3.5,2.6,3.8,4.9,2.3,1.5,inform_annual
CUB,2024,3.3,3.5,2.6,4.0,4.9,2.2,1.5,inform_annual
DOM,2019,4.4,4.5,3.7,5.0,6.8,3.4,3.3,inform_annual
DOM,2020,4.2,4.5,3.2,5.0,6.8,3.1,3.1,inform_annual
DOM,2021,4.3,4.4,3.7,4.9,6.7,3.2,3.0,inform_annual
DOM,2022,4.2,4.5,3.7,4.6,6.8,3.2,2.8,inform_annual
DOM,2023,4.6,4.5,4.6,4.6,6.8,3.1,2.8,inform_annual
DOM,2024,4.5,4.6,4.7,4.3,6.8,3.0,2.8,inform_annual
GTM,2019,5.1,4.1,6.3,5.0,5.9,5.5,4.4,inform_annual
GTM,2020,5.0,4.1,6.1,5.0,5.9,5.4,4.4,inform_annual
GTM,2021,5.0,4.1,6.2,4.9,5.9,5.5,4.2,inform_annual
GTM,2022,5.0,4.1,6.1,5.0,5.9,5.6,4.1,inform_annual
GTM,2023,5.1,4.3,6.3,5.0,5.8,5.6,4.1,inform_annual
GTM,2024,5.1,4.1,6.3,5.0,5.8,5.6,4.1,inform_annual
GUY,2019,4.1,3.0,4.5,5.1,4.6,4.1,4.0,inform_annual
GUY,2020,3.9,2.9,4.0,5.0,4.5,3.8,3.7,inform_annual
GUY,2021,3.9,2.9,4.1,4.9,4.5,3.9,3.5,inform_annual
GUY,2022,4.1,3.2,4.3,4.9,4.6,3.8,3.5,inform_annual
GUY,2023,3.9,3.2,3.8,4.9,4.6,3.6,3.3,inform_annual
GUY,2024,3.9,3.1,4.0,4.9,4.5,3.9,3.3,inform_annual
HND,2019,5.0,3.9,5.6,5.7,5.9,5.7,4.4,inform_annual
HND,2020,5.1,4.4,5.4,5.7,5.8,5.3,4.3,inform_annual
HND,2021,5.3,4.1,6.2,5.9,5.8,5.6,4.4,inform_annual
HND,2022,5.4,4.3,6.2,5.9,5.8,5.6,4.3,inform_annual
HND,2023,5.5,4.3,6.6,5.9,5.8,5.6,4.2,inform_annual
HND,2024,5.5,5.2,5.5,5.9,5.8,5.5,4.2,inform_annual
HTI,2019,6.1,5.2,6.1,7.2,6.3,6.7,6.5,inform_annual
HTI,2020,5.7,4.8,5.2,7.3,6.3,6.6,6.5,inform_annual
HTI,2021,6.3,6.1,5.6,7.2,6.3,6.8,6.4,inform_annual
HTI,2022,6.5,6.5,5.9,7.2,6.3,6.6,6.4,inform_annual
HTI,2023,6.8,6.8,6.4,7.2,6.3,6.6,6.3,inform_annual
HTI,2024,7.0,7.2,6.7,7.2,6.3,6.6,6.3,inform_annual
JAM,2019,2.9,3.1,2.2,3.6,5.0,3.4,3.1,inform_annual
JAM,2020,2.9,3.1,2.2,3.6,5.0,3.5,3.0,inform_annual
JAM,2021,2.9,3.1,2.3,3.6,5.0,3.7,3.0,inform_annual
