SID,ISO3,Country,country_role,year,month,NAME,peak_wind_knots,peak_sshs,min_dist2land,made_landfall,track_observations,sshs_label,wind_intensity_score,year_month
2019204N25283,BHS,Bahamas,tier1,2019,7,UNNAMED,25.0,-1,0,1,5,subtropical_storm,0.1562,2019-07
2019236N10314,BHS,Bahamas,tier1,2019,8,DORIAN,133.0,4,379,0,4,cat4,0.8312,2019-08
2019236N10314,BHS,Bahamas,tier1,2019,9,DORIAN,160.0,5,149,0,24,cat5,1.0,2019-09
2019236N10314,BRB,Barbados,tier1,2019,8,DORIAN,45.0,0,318,0,2,tropical_storm,0.2812,2019-08
2019256N23286,BHS,Bahamas,tier1,2019,9,HUMBERTO,48.0,0,215,0,20,tropical_storm,0.3,2019-09
2019256N23286,CUB,Cuba,tier1,2019,9,HUMBERTO,25.0,-3,218,0,3,depression,0.1562,2019-09
2019265N12301,PRI,Puerto Rico,tier1,2019,9,KAREN,40.0,0,23,0,4,tropical_storm,0.25,2019-09
2019265N12301,VEN,Venezuela,pressure_input,2019,9,KAREN,35.0,0,145,0,3,tropical_storm,0.2188,2019-09
2020154N19269,GTM,Guatemala,tier1,2020,6,CRISTOBAL,33.0,-1,0,1,5,subtropical_storm,0.2062,2020-06
2020203N09323,TTO,Trinidad and Tobago,tier1,2020,7,GONZALO,31.0,-1,0,1,2,subtropical_storm,0.1938,2020-07
2020203N09323,VEN,Venezuela,pressure_input,2020,7,GONZALO,35.0,0,0,1,4,tropical_storm,0.2188,2020-07
2020211N13306,BHS,Bahamas,tier1,2020,7,ISAIAS,73.0,1,11,1,5,cat1,0.4562,2020-07
2020211N13306,BHS,Bahamas,tier1,2020,8,ISAIAS,75.0,1,0,1,12,cat1,0.4688,2020-08
2020211N13306,CUB,Cuba,tier1,2020,7,ISAIAS,73.0,1,38,0,4,cat1,0.4562,2020-07
2020211N13306,CUB,Cuba,tier1,2020,8,ISAIAS,75.0,1,182,0,2,cat1,0.4688,2020-08
2020211N13306,DOM,Dominican Republic,tier1,2020,7,ISAIAS,65.0,1,0,1,6,cat1,0.4062,2020-07
2020233N14313,CUB,Cuba,tier1,2020,8,LAURA,60.0,0,0,1,13,tropical_storm,0.375,2020-08
2020233N14313,DOM,Dominican Republic,tier1,2020,8,LAURA,45.0,0,0,1,5,tropical_storm,0.2812,2020-08
2020233N14313,HTI,Haiti,tier1,2020,8,LAURA,55.0,0,0,1,3,tropical_storm,0.3438,2020-08
2020233N14313,PRI,Puerto Rico,tier1,2020,8,LAURA,45.0,0,22,1,1,tropical_storm,0.2812,2020-08
2020234N14280,HND,Honduras,tier1,2020,8,MARCO,30.0,-1,56,0,2,subtropical_storm,0.1875,2020-08
2020245N16285,BLZ,Belize,tier1,2020,9,NANA,65.0,1,0,1,3,cat1,0.4062,2020-09
2020245N16285,GTM,Guatemala,tier1,2020,9,NANA,65.0,1,0,1,7,cat1,0.4062,2020-09
2020256N25281,BHS,Bahamas,tier1,2020,9,SALLY,30.0,-1,60,0,2,subtropical_storm,0.1875,2020-09
2020306N15288,BHS,Bahamas,tier1,2020,11,ETA,55.0,0,0,1,5,tropical_storm,0.3438,2020-11
2020306N15288,BLZ,Belize,tier1,2020,11,ETA,30.0,-1,0,1,5,subtropical_storm,0.1875,2020-11
2020306N15288,CUB,Cuba,tier1,2020,11,ETA,55.0,0,0,1,13,tropical_storm,0.3438,2020-11
2020306N15288,HND,Honduras,tier1,2020,11,ETA,125.0,4,0,1,22,cat4,0.7812,2020-11
2020306N15288,NIC,Nicaragua,tier1,2020,11,ETA,130.0,4,0,1,21,cat4,0.8125,2020-11
2020318N16289,COL,Colombia,pressure_input,2020,11,IOTA,75.0,1,224,0,14,cat1,0.4688,2020-11
2020318N16289,GTM,Guatemala,tier1,2020,11,IOTA,30.0,-1,0,1,2,subtropical_storm,0.1875,2020-11
2020318N16289,HND,Honduras,tier1,2020,11,IOTA,126.0,4,0,1,13,cat4,0.7875,2020-11
