ISO3,Country,country_role,year_month,year,month,storm_count,max_wind_knots,max_sshs,landfall_count,max_wind_score,storm_names,had_major_hurricane
BHS,Bahamas,tier1,2019-07,2019,7,1,25.0,-1,1,0.1562,UNNAMED,0
BHS,Bahamas,tier1,2019-08,2019,8,1,133.0,4,0,0.8312,DORIAN,1
BHS,Bahamas,tier1,2019-09,2019,9,2,160.0,5,0,1.0,DORIAN|HUMBERTO,1
BHS,Bahamas,tier1,2020-07,2020,7,1,73.0,1,1,0.4562,ISAIAS,0
BHS,Bahamas,tier1,2020-08,2020,8,1,75.0,1,1,0.4688,ISAIAS,0
BHS,Bahamas,tier1,2020-09,2020,9,1,30.0,-1,0,0.1875,SALLY,0
BHS,Bahamas,tier1,2020-11,2020,11,1,55.0,0,1,0.3438,ETA,0
BHS,Bahamas,tier1,2021-08,2021,8,1,35.0,0,1,0.2188,FRED,0
BHS,Bahamas,tier1,2022-11,2022,11,1,65.0,1,0,0.4062,NICOLE,0
BHS,Bahamas,tier1,2024-08,2024,8,1,25.0,-1,0,0.1562,DEBBY,0
BHS,Bahamas,tier1,2024-10,2024,10,1,70.0,1,1,0.4375,OSCAR,0
BLZ,Belize,tier1,2020-09,2020,9,1,65.0,1,1,0.4062,NANA,0
BLZ,Belize,tier1,2020-11,2020,11,1,30.0,-1,1,0.1875,ETA,0
BLZ,Belize,tier1,2022-11,2022,11,1,80.0,1,1,0.5,LISA,0
BLZ,Belize,tier1,2024-10,2024,10,1,50.0,0,1,0.3125,NADINE,0
BLZ,Belize,tier1,2024-11,2024,11,1,35.0,0,1,0.2188,SARA,0
BRB,Barbados,tier1,2019-08,2019,8,1,45.0,0,0,0.2812,DORIAN,0
BRB,Barbados,tier1,2023-06,2023,6,1,55.0,0,0,0.3438,BRET,0
COL,Colombia,pressure_input,2020-11,2020,11,1,75.0,1,0,0.4688,IOTA,0
COL,Colombia,pressure_input,2022-06,2022,6,1,35.0,-3,1,0.2188,BONNIE,0
COL,Colombia,pressure_input,2022-07,2022,7,1,35.0,0,0,0.2188,BONNIE,0
COL,Colombia,pressure_input,2022-09,2022,9,1,30.0,-3,0,0.1875,IAN,0
COL,Colombia,pressure_input,2022-10,2022,10,1,55.0,0,1,0.3438,JULIA,0
COL,Colombia,pressure_input,2023-06,2023,6,1,45.0,0,0,0.2812,BRET,0
COL,Colombia,pressure_input,2024-11,2024,11,1,30.0,-3,0,0.1875,RAFAEL,0
CRI,Costa Rica,tier1,2022-07,2022,7,1,50.0,0,1,0.3125,BONNIE,0
CUB,Cuba,tier1,2019-09,2019,9,1,25.0,-3,0,0.1562,HUMBERTO,0
CUB,Cuba,tier1,2020-07,2020,7,1,73.0,1,0,0.4562,ISAIAS,0
CUB,Cuba,tier1,2020-08,2020,8,2,75.0,1,1,0.4688,ISAIAS|LAURA,0
CUB,Cuba,tier1,2020-11,2020,11,1,55.0,0,1,0.3438,ETA,0
CUB,Cuba,tier1,2021-07,2021,7,1,55.0,0,1,0.3438,ELSA,0
