iso3,year,month,venezuelan_displaced,displacement_source
COL,2019,2019-01-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-02-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-03-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-04-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-05-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-06-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-07-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-08-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-09-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-10-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-11-01,374105,r4v_backfill_dec2020_proj
COL,2019,2019-12-01,374105,r4v_backfill_dec2020_proj
COL,2020,2020-01-01,374105,r4v_dec2020_proj
COL,2020,2020-02-01,374105,r4v_dec2020_proj
COL,2020,2020-03-01,374105,r4v_dec2020_proj
COL,2020,2020-04-01,374105,r4v_dec2020_proj
COL,2020,2020-05-01,374105,r4v_dec2020_proj
COL,2020,2020-06-01,374105,r4v_dec2020_proj
COL,2020,2020-07-01,374105,r4v_dec2020_proj
COL,2020,2020-08-01,374105,r4v_dec2020_proj
COL,2020,2020-09-01,374105,r4v_dec2020_proj
COL,2020,2020-10-01,374105,r4v_dec2020_proj
COL,2020,2020-11-01,374105,r4v_dec2020_proj
COL,2020,2020-12-01,374105,r4v_dec2020_proj
COL,2021,2021-01-01,424628,r4v
COL,2021,2021-02-01,424628,r4v
COL,2021,2021-03-01,424628,r4v
COL,2021,2021-04-01,424628,r4v
COL,2021,2021-05-01,424628,r4v
COL,2021,2021-06-01,424628,r4v
COL,2021,2021-07-01,424628,r4v
COL,2021,2021-08-01,424628,r4v
COL,2021,2021-09-01,424628,r4v
COL,2021,2021-10-01,424628,r4v
COL,2021,2021-11-01,424628,r4v
COL,2021,2021-12-01,424628,r4v
COL,2022,2022-01-01,900249,r4v
COL,2022,2022-02-01,900249,r4v
COL,2022,2022-03-01,900249,r4v
COL,2022,2022-04-01,900249,r4v
COL,2022,2022-05-01,900249,r4v
COL,2022,2022-06-01,900249,r4v
COL,2022,2022-07-01,900249,r4v
COL,2022,2022-08-01,900249,r4v
COL,2022,2022-09-01,900249,r4v
COL,2022,2022-10-01,900249,r4v
COL,2022,2022-11-01,900249,r4v
COL,2022,2022-12-01,900249,r4v
COL,2023,2023-01-01,619861,r4v
COL,2023,2023-02-01,619861,r4v
COL,2023,2023-03-01,619861,r4v
COL,2023,2023-04-01,619861,r4v
COL,2023,2023-05-01,619861,r4v
COL,2023,2023-06-01,619861,r4v
COL,2023,2023-07-01,619861,r4v
COL,2023,2023-08-01,619861,r4v
COL,2023,2023-09-01,619861,r4v
COL,2023,2023-10-01,619861,r4v
COL,2023,2023-11-01,619861,r4v
COL,2023,2023-12-01,619861,r4v
COL,2024,2024-01-01,635845,r4v
COL,2024,2024-02-01,635845,r4v
COL,2024,2024-03-01,635845,r4v
COL,2024,2024-04-01,635845,r4v
COL,2024,2024-05-01,635845,r4v
COL,2024,2024-06-01,635845,r4v
COL,2024,2024-07-01,635845,r4v
COL,2024,2024-08-01,635845,r4v
COL,2024,2024-09-01,635845,r4v
COL,2024,2024-10-01,635845,r4v
COL,2024,2024-11-01,635845,r4v
COL,2024,2024-12-01,635845,r4v
CRI,2019,2019-01-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-02-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-03-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-04-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-05-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-06-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-07-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-08-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-09-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-10-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-11-01,2500,r4v_backfill_dec2020_proj
CRI,2019,2019-12-01,2500,r4v_backfill_dec2020_proj
CRI,2020,2020-01-01,2500,r4v_dec2020_proj
CRI,2020,2020-02-01,2500,r4v_dec2020_proj
CRI,2020,2020-03-01,2500,r4v_dec2020_proj
CRI,2020,2020-04-01,2500,r4v_dec2020_proj
CRI,2020,2020-05-01,2500,r4v_dec2020_proj
CRI,2020,2020-06-01,2500,r4v_dec2020_proj
CRI,2020,2020-07-01,2500,r4v_dec2020_proj
CRI,2020,2020-08-01,2500,r4v_dec2020_proj
CRI,2020,2020-09-01,2500,r4v_dec2020_proj
CRI,2020,2020-10-01,2500,r4v_dec2020_proj
CRI,2020,2020-11-01,2500,r4v_dec2020_proj
CRI,2020,2020-12-01,2500,r4v_dec2020_proj
CRI,2021,2021-01-01,2725,r4v
CRI,2021,2021-02-01,2725,r4v
CRI,2021,2021-03-01,2725,r4v
CRI,2021,2021-04-01,2725,r4v
CRI,2021,2021-05-01,2725,r4v
CRI,2021,2021-06-01,2725,r4v
CRI,2021,2021-07-01,2725,r4v
CRI,2021,2021-08-01,2725,r4v
CRI,2021,2021-09-01,2725,r4v
CRI,2021,2021-10-01,2725,r4v
CRI,2021,2021-11-01,2725,r4v
CRI,2021,2021-12-01,2725,r4v
CRI,2022,2022-01-01,3226,r4v
CRI,2022,2022-02-01,3226,r4v
CRI,2022,2022-03-01,3226,r4v
CRI,2022,2022-04-01,3226,r4v
CRI,2022,2022-05-01,3226,r4v
CRI,2022,2022-06-01,3226,r4v
CRI,2022,2022-07-01,3226,r4v
CRI,2022,2022-08-01,3226,r4v
CRI,2022,2022-09-01,3226,r4v
CRI,2022,2022-10-01,3226,r4v
CRI,2022,2022-11-01,3226,r4v
CRI,2022,2022-12-01,3226,r4v
CRI,2023,2023-01-01,20510,r4v
CRI,2023,2023-02-01,20510,r4v
CRI,2023,2023-03-01,20510,r4v
CRI,2023,2023-04-01,20510,r4v
CRI,2023,2023-05-01,20510,r4v
CRI,2023,2023-06-01,20510,r4v
CRI,2023,2023-07-01,20510,r4v
CRI,2023,2023-08-01,20510,r4v
CRI,2023,2023-09-01,20510,r4v
CRI,2023,2023-10-01,20510,r4v
CRI,2023,2023-11-01,20510,r4v
CRI,2023,2023-12-01,20510,r4v
CRI,2024,2024-01-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-02-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-03-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-04-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-05-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-06-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-07-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-08-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-09-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-10-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-11-01,20597,r4v_from_2023-24_combined
CRI,2024,2024-12-01,20597,r4v_from_2023-24_combined
DOM,2019,2019-01-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-02-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-03-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-04-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-05-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-06-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-07-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-08-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-09-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-10-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-11-01,9504,r4v_backfill_dec2020_proj
DOM,2019,2019-12-01,9504,r4v_backfill_dec2020_proj
DOM,2020,2020-01-01,9504,r4v_dec2020_proj
DOM,2020,2020-02-01,9504,r4v_dec2020_proj
DOM,2020,2020-03-01,9504,r4v_dec2020_proj
DOM,2020,2020-04-01,9504,r4v_dec2020_proj
DOM,2020,2020-05-01,9504,r4v_dec2020_proj
DOM,2020,2020-06-01,9504,r4v_dec2020_proj
DOM,2020,2020-07-01,9504,r4v_dec2020_proj
DOM,2020,2020-08-01,9504,r4v_dec2020_proj
DOM,2020,2020-09-01,9504,r4v_dec2020_proj
DOM,2020,2020-10-01,9504,r4v_dec2020_proj
DOM,2020,2020-11-01,9504,r4v_dec2020_proj
DOM,2020,2020-12-01,9504,r4v_dec2020_proj
DOM,2021,2021-01-01,10079,r4v
DOM,2021,2021-02-01,10079,r4v
DOM,2021,2021-03-01,10079,r4v
DOM,2021,2021-04-01,10079,r4v
DOM,2021,2021-05-01,10079,r4v
DOM,2021,2021-06-01,10079,r4v
DOM,2021,2021-07-01,10079,r4v
DOM,2021,2021-08-01,10079,r4v
DOM,2021,2021-09-01,10079,r4v
DOM,2021,2021-10-01,10079,r4v
DOM,2021,2021-11-01,10079,r4v
DOM,2021,2021-12-01,10079,r4v
DOM,2022,2022-01-01,10123,r4v
DOM,2022,2022-02-01,10123,r4v
DOM,2022,2022-03-01,10123,r4v
DOM,2022,2022-04-01,10123,r4v
DOM,2022,2022-05-01,10123,r4v
DOM,2022,2022-06-01,10123,r4v
DOM,2022,2022-07-01,10123,r4v
DOM,2022,2022-08-01,10123,r4v
DOM,2022,2022-09-01,10123,r4v
DOM,2022,2022-10-01,10123,r4v
DOM,2022,2022-11-01,10123,r4v
DOM,2022,2022-12-01,10123,r4v
DOM,2023,2023-01-01,11265,r4v
DOM,2023,2023-02-01,11265,r4v
DOM,2023,2023-03-01,11265,r4v
DOM,2023,2023-04-01,11265,r4v
DOM,2023,2023-05-01,11265,r4v
DOM,2023,2023-06-01,11265,r4v
DOM,2023,2023-07-01,11265,r4v
DOM,2023,2023-08-01,11265,r4v
DOM,2023,2023-09-01,11265,r4v
DOM,2023,2023-10-01,11265,r4v
DOM,2023,2023-11-01,11265,r4v
DOM,2023,2023-12-01,11265,r4v
DOM,2024,2024-01-01,11652,r4v
DOM,2024,2024-02-01,11652,r4v
DOM,2024,2024-03-01,11652,r4v
DOM,2024,2024-04-01,11652,r4v
DOM,2024,2024-05-01,11652,r4v
DOM,2024,2024-06-01,11652,r4v
DOM,2024,2024-07-01,11652,r4v
DOM,2024,2024-08-01,11652,r4v
DOM,2024,2024-09-01,11652,r4v
DOM,2024,2024-10-01,11652,r4v
DOM,2024,2024-11-01,11652,r4v
DOM,2024,2024-12-01,11652,r4v
GUY,2019,2019-01-01,1942,r4v_backfill_dec2020_proj
