year,asylum_iso3,origin_iso3,country_asylum,country_origin,refugees_in,asylum_seekers_in,total_displaced_in,idps,stateless
2019,BRB,TTO,Barbados,Trinidad and Tobago,0,5,5,0,0
2019,BRB,VEN,Barbados,Venezuela,0,5,5,0,0
2020,BRB,VEN,Barbados,Venezuela,0,5,5,0,0
2021,BRB,GUY,Barbados,Guyana,0,5,5,0,0
2021,BRB,VEN,Barbados,Venezuela,0,5,5,0,0
2024,BRB,JAM,Barbados,Jamaica,5,8,13,0,0
2023,BRB,GUY,Barbados,Guyana,5,0,5,0,0
2023,BRB,JAM,Barbados,Jamaica,0,5,5,0,0
2023,BRB,VEN,Barbados,Venezuela,0,5,5,0,0
2019,BHS,COL,Bahamas,Colombia,5,0,5,0,0
2019,BHS,CUB,Bahamas,Cuba,5,5,10,0,0
2019,BHS,ZAF,Bahamas,South Africa,0,8,8,0,0
2020,BHS,KHM,Bahamas,Cambodia,0,5,5,0,0
2020,BHS,COL,Bahamas,Colombia,5,0,5,0,0
2020,BHS,CUB,Bahamas,Cuba,5,0,5,0,0
2020,BHS,JAM,Bahamas,Jamaica,5,0,5,0,0
2020,BHS,ZAF,Bahamas,South Africa,0,8,8,0,0
2021,BHS,CMR,Bahamas,Cameroon,5,0,5,0,0
2021,BHS,CUB,Bahamas,Cuba,0,5,5,0,0
2021,BHS,JAM,Bahamas,Jamaica,5,0,5,0,0
2021,BHS,ZAF,Bahamas,South Africa,0,8,8,0,0
2024,BHS,CMR,Bahamas,Cameroon,5,0,5,0,0
2024,BHS,CUB,Bahamas,Cuba,5,7,12,0,0
2024,BHS,JAM,Bahamas,Jamaica,0,8,8,0,0
2024,BHS,ZAF,Bahamas,South Africa,0,5,5,0,0
2023,BHS,KHM,Bahamas,Cambodia,0,5,5,0,0
2023,BHS,CUB,Bahamas,Cuba,0,11,11,0,0
2023,BHS,HTI,Bahamas,Haiti,0,5,5,0,0
2023,BHS,ZAF,Bahamas,South Africa,0,5,5,0,0
2023,BHS,UGA,Bahamas,Uganda,0,5,5,0,0
2022,BHS,KHM,Bahamas,Cambodia,0,5,5,0,0
2022,BHS,CMR,Bahamas,Cameroon,5,0,5,0,0
2022,BHS,CUB,Bahamas,Cuba,0,11,11,0,0
2022,BHS,HTI,Bahamas,Haiti,0,5,5,0,0
2022,BHS,JAM,Bahamas,Jamaica,5,0,5,0,0
2022,BHS,ZAF,Bahamas,South Africa,0,5,5,0,0
2022,BHS,UGA,Bahamas,Uganda,0,5,5,0,0
2019,BLZ,CUB,Belize,Cuba,0,5,5,0,0
2019,BLZ,GTM,Belize,Guatemala,0,422,422,0,0
2019,BLZ,HND,Belize,Honduras,5,448,453,0,0
2019,BLZ,NIC,Belize,Nicaragua,0,5,5,0,0
2019,BLZ,PER,Belize,Peru,0,5,5,0,0
2019,BLZ,SLV,Belize,El Salvador,24,1259,1283,0,0
2019,BLZ,UNK,Belize,Unknown ,0,0,0,0,0
