year,origin_iso3,asylum_iso3,country_origin,country_asylum,refugees_out,asylum_seekers_out,total_displaced_out
2019,BRB,CAN,Barbados,Canada,230,106,336
2019,BRB,GBR,Barbados,United Kingdom of Great Britain and Northern Ireland,13,5,18
2019,BRB,USA,Barbados,United States of America,0,5,5
2020,BRB,CAN,Barbados,Canada,216,106,322
2020,BRB,GBR,Barbados,United Kingdom of Great Britain and Northern Ireland,14,9,23
2020,BRB,USA,Barbados,United States of America,0,5,5
2021,BRB,CAN,Barbados,Canada,250,74,324
2021,BRB,GBR,Barbados,United Kingdom of Great Britain and Northern Ireland,15,17,32
2024,BRB,CAN,Barbados,Canada,397,604,1001
2024,BRB,GBR,Barbados,United Kingdom of Great Britain and Northern Ireland,18,11,29
2024,BRB,USA,Barbados,United States of America,0,5,5
2023,BRB,CAN,Barbados,Canada,281,234,515
2023,BRB,GBR,Barbados,United Kingdom of Great Britain and Northern Ireland,17,16,33
2023,BRB,USA,Barbados,United States of America,0,5,5
2022,BRB,CAN,Barbados,Canada,216,202,418
2022,BRB,GBR,Barbados,United Kingdom of Great Britain and Northern Ireland,15,19,34
2022,BRB,USA,Barbados,United States of America,0,5,5
2019,BHS,CAN,Bahamas,Canada,310,418,728
2019,BHS,GBR,Bahamas,United Kingdom of Great Britain and Northern Ireland,5,0,5
2019,BHS,ITA,Bahamas,Italy,5,0,5
2019,BHS,ZAF,Bahamas,South Africa,0,14,14
2019,BHS,USA,Bahamas,United States of America,181,96,277
2020,BHS,CAN,Bahamas,Canada,353,554,907
2020,BHS,ZAF,Bahamas,South Africa,0,14,14
2020,BHS,USA,Bahamas,United States of America,181,127,308
2021,BHS,CAN,Bahamas,Canada,555,404,959
2021,BHS,ZAF,Bahamas,South Africa,0,14,14
2021,BHS,USA,Bahamas,United States of America,181,240,421
2024,BHS,CAN,Bahamas,Canada,1274,839,2113
2024,BHS,GBR,Bahamas,United Kingdom of Great Britain and Northern Ireland,0,5,5
2024,BHS,ZAF,Bahamas,South Africa,0,5,5
2024,BHS,USA,Bahamas,United States of America,175,1758,1933
2023,BHS,CAN,Bahamas,Canada,892,723,1615
2023,BHS,GBR,Bahamas,United Kingdom of Great Britain and Northern Ireland,0,5,5
2023,BHS,USA,Bahamas,United States of America,175,1097,1272
2022,BHS,CAN,Bahamas,Canada,603,788,1391
2022,BHS,ZAF,Bahamas,South Africa,0,7,7
2022,BHS,USA,Bahamas,United States of America,178,415,593
2019,BLZ,CAN,Belize,Canada,19,10,29
2019,BLZ,GBR,Belize,United Kingdom of Great Britain and Northern Ireland,5,0,5
2019,BLZ,IRL,Belize,Ireland,0,5,5
2019,BLZ,MEX,Belize,Mexico,6,24,30
2019,BLZ,USA,Belize,United States of America,43,239,282
2020,BLZ,CAN,Belize,Canada,19,0,19
2020,BLZ,GBR,Belize,United Kingdom of Great Britain and Northern Ireland,0,5,5
2020,BLZ,MEX,Belize,Mexico,10,30,40
2020,BLZ,USA,Belize,United States of America,39,279,318
2021,BLZ,CAN,Belize,Canada,19,6,25
2021,BLZ,GBR,Belize,United Kingdom of Great Britain and Northern Ireland,0,5,5
2021,BLZ,GTM,Belize,Guatemala,0,5,5
2021,BLZ,MEX,Belize,Mexico,24,57,81
2021,BLZ,USA,Belize,United States of America,38,296,334
2024,BLZ,CAN,Belize,Canada,8,7,15
2024,BLZ,CRI,Belize,Costa Rica,0,5,5
2024,BLZ,GBR,Belize,United Kingdom of Great Britain and Northern Ireland,0,5,5
2024,BLZ,GTM,Belize,Guatemala,0,5,5
2024,BLZ,IRL,Belize,Ireland,0,5,5
2024,BLZ,MEX,Belize,Mexico,47,82,129
2024,BLZ,USA,Belize,United States of America,49,1291,1340
2023,BLZ,CAN,Belize,Canada,0,5,5
2023,BLZ,CRI,Belize,Costa Rica,0,5,5
2023,BLZ,MEX,Belize,Mexico,34,86,120
2023,BLZ,USA,Belize,United States of America,38,880,918
2022,BLZ,CAN,Belize,Canada,0,5,5
2022,BLZ,CRI,Belize,Costa Rica,0,5,5
2022,BLZ,GBR,Belize,United Kingdom of Great Britain and Northern Ireland,0,5,5
2022,BLZ,MEX,Belize,Mexico,31,62,93
2022,BLZ,USA,Belize,United States of America,34,404,438
2019,COL,ABW,Colombia,Aruba,0,8,8
2019,COL,ARG,Colombia,Argentina,558,191,749
2019,COL,AUS,Colombia,Australia,102,243,345
2019,COL,AUT,Colombia,Austria,0,11,11
2019,COL,BEL,Colombia,Belgium,73,124,197
2019,COL,BHS,Colombia,Bahamas,5,0,5
2019,COL,BOL,Colombia,Bolivia (Plurinational State of),201,7,208
2019,COL,BRA,Colombia,Brazil,1295,1835,3130
2019,COL,CAN,Colombia,Canada,4982,4801,9783
2019,COL,CHL,Colombia,Chile,1227,3864,5091
2019,COL,COL,Colombia,Colombia,0,0,0
2019,COL,CRI,Colombia,Costa Rica,2325,1338,3663
2019,COL,CUW,Colombia,Curacao ,28,49,77
2019,COL,DNK,Colombia,Denmark,5,30,35
2019,COL,DOM,Colombia,Dominican Republic,0,10,10
2019,COL,ECU,Colombia,Ecuador,102928,9918,112846
2019,COL,FIN,Colombia,Finland,0,19,19
2019,COL,FRA,Colombia,France,587,454,1041
2019,COL,GBR,Colombia,United Kingdom of Great Britain and Northern Ireland,24,61,85
2019,COL,DEU,Colombia,Germany,69,579,648
2019,COL,GRC,Colombia,Greece,0,5,5
2019,COL,GTM,Colombia,Guatemala,8,8,16
2019,COL,ISL,Colombia,Iceland,0,5,5
2019,COL,ISR,Colombia,Israel,0,284,284
2019,COL,ITA,Colombia,Italy,690,466,1156
2019,COL,KOR,Colombia,Rep. of Korea,0,10,10
2019,COL,LUX,Colombia,Luxembourg,0,10,10
2019,COL,MEX,Colombia,Mexico,351,628,979
2019,COL,MLT,Colombia,Malta,0,12,12
2019,COL,NLD,Colombia,Netherlands (Kingdom of the),19,146,165
2019,COL,NIC,Colombia,Nicaragua,6,0,6
2019,COL,NOR,Colombia,Norway,12,26,38
2019,COL,NZL,Colombia,New Zealand,30,10,40
2019,COL,PAN,Colombia,Panama,1702,1897,3599
2019,COL,PRY,Colombia,Paraguay,17,18,35
2019,COL,PER,Colombia,Peru,705,1230,1935
2019,COL,PRT,Colombia,Portugal,45,17,62
2019,COL,SLV,Colombia,El Salvador,5,6,11
2019,COL,ESP,Colombia,Spain,242,34110,34352
2019,COL,SUR,Colombia,Suriname,0,5,5
2019,COL,SWE,Colombia,Sweden,39,322,361
2019,COL,CHE,Colombia,Switzerland,246,90,336
2019,COL,TTO,Colombia,Trinidad and Tobago,12,53,65
2019,COL,URY,Colombia,Uruguay,158,29,187
2019,COL,USA,Colombia,United States of America,2936,12570,15506
2019,COL,VEN,Colombia,Venezuela,67622,49,67671
2020,COL,ABW,Colombia,Aruba,0,0,0
2020,COL,ARG,Colombia,Argentina,560,226,786
2020,COL,AUS,Colombia,Australia,103,317,420
2020,COL,AUT,Colombia,Austria,0,19,19
2020,COL,BEL,Colombia,Belgium,105,410,515
2020,COL,BHS,Colombia,Bahamas,5,0,5
2020,COL,BOL,Colombia,Bolivia (Plurinational State of),202,0,202
2020,COL,BRA,Colombia,Brazil,1297,1986,3283
2020,COL,CAN,Colombia,Canada,4577,4501,9078
2020,COL,CHL,Colombia,Chile,1231,3332,4563
2020,COL,COL,Colombia,Colombia,0,0,0
2020,COL,CRI,Colombia,Costa Rica,2322,1042,3364
2020,COL,CUW,Colombia,Curacao ,44,33,77
2020,COL,DNK,Colombia,Denmark,5,17,22
2020,COL,DOM,Colombia,Dominican Republic,0,5,5
2020,COL,ECU,Colombia,Ecuador,102931,11401,114332
2020,COL,FIN,Colombia,Finland,0,26,26
2020,COL,FRA,Colombia,France,644,690,1334
2020,COL,GBR,Colombia,United Kingdom of Great Britain and Northern Ireland,23,52,75
2020,COL,DEU,Colombia,Germany,69,845,914
2020,COL,GRC,Colombia,Greece,0,5,5
2020,COL,GTM,Colombia,Guatemala,10,5,15
2020,COL,HND,Colombia,Honduras,0,5,5
2020,COL,ISR,Colombia,Israel,0,295,295
2020,COL,ITA,Colombia,Italy,664,573,1237
2020,COL,KOR,Colombia,Rep. of Korea,0,14,14
2020,COL,LUX,Colombia,Luxembourg,0,10,10
2020,COL,MEX,Colombia,Mexico,448,899,1347
2020,COL,MLT,Colombia,Malta,0,26,26
2020,COL,NLD,Colombia,Netherlands (Kingdom of the),43,160,203
2020,COL,NIC,Colombia,Nicaragua,6,0,6
2020,COL,NOR,Colombia,Norway,12,13,25
2020,COL,NZL,Colombia,New Zealand,29,16,45
2020,COL,PAN,Colombia,Panama,1698,1114,2812
2020,COL,PRY,Colombia,Paraguay,17,40,57
2020,COL,PER,Colombia,Peru,706,1646,2352
2020,COL,PRT,Colombia,Portugal,33,14,47
2020,COL,SLV,Colombia,El Salvador,5,7,12
2020,COL,ESP,Colombia,Spain,985,23735,24720
2020,COL,SUR,Colombia,Suriname,0,5,5
2020,COL,SWE,Colombia,Sweden,40,101,141
2020,COL,CHE,Colombia,Switzerland,275,69,344
2020,COL,TTO,Colombia,Trinidad and Tobago,12,60,72
2020,COL,URY,Colombia,Uruguay,162,51,213
2020,COL,USA,Colombia,United States of America,2668,16868,19536
2020,COL,VEN,Colombia,Venezuela,67935,284,68219
2021,COL,ARG,Colombia,Argentina,561,258,819
