year,ISO3,total_refugees_in,total_asylum_seekers_in,total_displaced_in,total_idps,n_origin_countries,total_refugees_out,total_asylum_seekers_out,total_displaced_out,n_destination_countries,net_displacement_pressure,month,year_month,monthly_displaced_in_baseline,monthly_displaced_out_baseline,monthly_pressure_baseline,displacement_source,country_role
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,1,2019-01,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,2,2019-02,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,3,2019-03,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,4,2019-04,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,5,2019-05,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,6,2019-06,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,7,2019-07,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,8,2019-08,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,9,2019-09,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,10,2019-10,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,11,2019-11,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2019,BHS,10.0,13.0,23.0,0.0,3.0,501,528,1029,5,1052.0,12,2019-12,1.92,85.75,87.67,unhcr_annual_proxy,tier1
2020,BHS,15.0,13.0,28.0,0.0,5.0,534,695,1229,3,1257.0,1,2020-01,2.33,102.42,104.75,unhcr_annual_proxy,tier1
2020,BHS,15.0,13.0,28.0,0.0,5.0,534,695,1229,3,1257.0,2,2020-02,2.33,102.42,104.75,unhcr_annual_proxy,tier1
2020,BHS,15.0,13.0,28.0,0.0,5.0,534,695,1229,3,1257.0,3,2020-03,2.33,102.42,104.75,unhcr_annual_proxy,tier1
