iso3,month,year,funding_usd,need_score,inform_risk_score,displaced_monthly,max_severity,lack_coping_capacity,optimal_alloc_usd,shock_flag,allocation_delta_usd,over_under
BHS,2019-01-01,2019,0.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-02-01,2019,0.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-03-01,2019,19800.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,178685.43,under_allocated
BHS,2019-04-01,2019,0.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-05-01,2019,0.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-06-01,2019,0.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-07-01,2019,0.0,0.056032,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-08-01,2019,0.0,0.08535,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-09-01,2019,1202150.0,0.192233,2.2,1.92,0.6876,3.1,595456.28,1,-606693.72,over_allocated
BHS,2019-10-01,2019,1233277.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,-1034791.57,over_allocated
BHS,2019-11-01,2019,0.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BHS,2019-12-01,2019,0.0,0.049248,2.2,1.92,0.0,3.1,198485.43,0,198485.43,under_allocated
BLZ,2019-01-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-02-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-03-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-04-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-05-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-06-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-07-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-08-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-09-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-10-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-11-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BLZ,2019-12-01,2019,0.0,0.211121,3.4,181.08,0.0,5.1,198485.43,0,198485.43,under_allocated
BRB,2019-01-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-02-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-03-01,2019,19800.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,178685.43,under_allocated
BRB,2019-04-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-05-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-06-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-07-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-08-01,2019,0.0,0.031834,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-09-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-10-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-11-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
BRB,2019-12-01,2019,0.0,0.01962,2.1,0.83,0.0,2.6,198485.43,0,198485.43,under_allocated
CRI,2019-01-01,2019,0.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,198485.43,under_allocated
CRI,2019-02-01,2019,1560617.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-1362131.57,over_allocated
CRI,2019-03-01,2019,7711244.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-7512758.57,over_allocated
CRI,2019-04-01,2019,2058603.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-1860117.57,over_allocated
CRI,2019-05-01,2019,3128714.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-2930228.57,over_allocated
CRI,2019-06-01,2019,9459209.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-9260723.57,over_allocated
CRI,2019-07-01,2019,1412374.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-1213888.57,over_allocated
CRI,2019-08-01,2019,0.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,198485.43,under_allocated
CRI,2019-09-01,2019,1336248.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-1137762.57,over_allocated
CRI,2019-10-01,2019,3824916.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,-3626430.57,over_allocated
CRI,2019-11-01,2019,0.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,198485.43,under_allocated
CRI,2019-12-01,2019,0.0,0.067025,2.7,2500.0,0.0,2.2,198485.43,0,198485.43,under_allocated
CUB,2019-01-01,2019,0.0,0.206553,3.4,22.08,0.4246,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-02-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-03-01,2019,2015021.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,-1816535.57,over_allocated
CUB,2019-04-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-05-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-06-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-07-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-08-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-09-01,2019,0.0,0.151864,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-10-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-11-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
CUB,2019-12-01,2019,0.0,0.14508,3.4,22.08,0.0,3.8,198485.43,0,198485.43,under_allocated
DOM,2019-01-01,2019,0.0,0.39303,4.4,9504.0,0.0,5.0,198485.43,0,198485.43,under_allocated
DOM,2019-02-01,2019,1537363.0,0.39303,4.4,9504.0,0.0,5.0,198485.43,0,-1338877.57,over_allocated
