iso3,flow_id,source_org,source_country,dest_org,dest_country,description,sector,amount_usd,funding_status,boundary,dest_usage_year,flow_date
BHS,188240,United States Fund for UNICEF,,United Nations Children's Fund,Anguilla (United Kingdom),Hurricane Irma and Maria - Return to Education -LACRO (SM180453),Education,19800,paid,incoming,2019,2019-03-08
BHS,197583,"United States of America, Government of",United States,Bahamas Red Cross Society,Bahamas,"Response to The Bahamas Hurricane Dorian: Shelter, WASH (Abaco and Grand Bahama) (USAID/OFDA)",Emergency Shelter and NFI,200000,commitment,incoming,2019,2019-09-04
BHS,197584,"United States of America, Government of",United States,World Food Programme,Bahamas,Response to The Bahamas Hurricane Dorian: In-Kind Relief Commodities (Countrywide) (USAID/OFDA),,324935,commitment,incoming,2019,2019-09-16
BHS,197585,"United States of America, Government of",United States,World Food Programme,Bahamas,Response to The Bahamas Hurricane Dorian:Logistics Support (Countrywide) (USAID/OFDA),Logistics,1234069,commitment,incoming,2019,2019-09-30
BHS,197586,"United States of America, Government of",United States,World Food Programme,Bahamas,Response to The Bahamas Hurricane Dorian:Food Security (Abaco and Grand Bahama) (USAID/FFP),Food Security,1000000,commitment,incoming,2019,2019-09-07
BHS,197737,"United States of America, Government of",United States,World Food Programme,Bahamas,Response to The Bahamas Hurricane Dorian:Logistics Support ( Countrywide) (USAID/OFDA),Logistics,1064186,commitment,incoming,2019,2019-09-12
BHS,197738,"United States of America, Government of",United States,International Organization for Migration,Bahamas,Response to The Bahamas Hurricane Dorian:Relief Commodities ( Countrywide) (USAID/OFDA),,219350,commitment,incoming,2019,2019-09-12
BHS,197739,"United States of America, Government of",United States,International Federation of Red Cross and Red Crescent Societies,Bahamas,"Response to The Bahamas Hurricane Dorian:Economic Recovery and Market Systems, Health, Protection, Shelter and Settlements, WASH ( Countrywide) (USAID/OFDA)",,2340000,commitment,incoming,2019,2019-09-12
BHS,197777,"Italy, Government of",Italy,International Federation of Red Cross and Red Crescent Societies,Bahamas,Multilateral contribution to IFRC to provide assistance to affected population,Water Sanitation Hygiene,110619,commitment,incoming,2019,2019-09-12
BHS,197840,"United States of America, Government of",United States,Pan-American Health Organization (World Health Organization),Bahamas,"Response to The Bahamas Hurricane Dorian: WASH, Health (countrywide) (USAID/OFDA)",Water Sanitation Hygiene,2600000,commitment,incoming,2019,2019-09-16
BHS,197842,"United States of America, Government of",United States,,Bahamas,Response to The Bahamas Hurricane Dorian: Urban Search and Rescue Fairfax County Fire and Rescue and Los Angeles County Fire Department. (Abaco) (USAID/OFDA),Coordination and support services,3868351,commitment,incoming,2019,2019-09-30
BHS,197969,"United States of America, Government of",United States,International Medical Corps US,Bahamas,"Health, Protection, WASH (Grand Bahama) (USAID/OFDA)",Health,2691000,commitment,incoming,2019,2019-09-18
BHS,197970,"United States of America, Government of",United States,International Organization for Migration,Bahamas,"Humanitarian Coordination and Information Management, Shelter and Settlements (Countrywide) (USAID/OFDA)",Coordination and support services,1500000,commitment,incoming,2019,2019-09-18
BHS,198284,Central Emergency Response Fund,,World Food Programme,Bahamas,WFP Support to NEMA & CDEMA through common logistics services for Bahamas Dorian Response,Coordination and support services,400000,paid,incoming,2019,2019-10-02
BHS,198285,Central Emergency Response Fund,,International Organization for Migration,Bahamas,Lifesaving Assistance to Persons Affected by Hurricane Dorian in the Bahamas,Coordination and support services,200001,paid,incoming,2019,2019-10-01
BHS,198286,Central Emergency Response Fund,,International Organization for Migration,Bahamas,Lifesaving Assistance to Persons Affected by Hurricane Dorian in the Bahamas,Emergency Shelter and NFI,200000,paid,incoming,2019,2019-10-01
BHS,198287,Central Emergency Response Fund,,United Nations Population Fund,Bahamas,"Respond to life-saving needs of Hurricane Dorian-affected women and adolescent girls by preventing, mitigating and responding to GBV",Protection,202150,paid,incoming,2019,2019-09-27
BHS,198381,European Commission's Humanitarian Aid and Civil Protection Department,,International Committee of the Red Cross,Bahamas,Red Cross Action in Support of Communities Affected by Hurricane Dorian ,Water Sanitation Hygiene,547046,commitment,incoming,2019,2019-09-19
