Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2019,Barbados,"Trinidad and Tobago",BRB,TTO,0,5,0,0,0,0,0
2019,Barbados,"Venezuela (Bolivarian Republic of)",BRB,VEN,0,5,0,0,0,0,0
2020,Barbados,"Venezuela (Bolivarian Republic of)",BRB,VEN,0,5,0,0,0,0,0
2021,Barbados,Guyana,BRB,GUY,0,5,0,0,0,0,0
2021,Barbados,"Venezuela (Bolivarian Republic of)",BRB,VEN,0,5,0,0,0,0,0
2024,Barbados,Jamaica,BRB,JAM,5,8,0,0,0,0,0
2023,Barbados,Guyana,BRB,GUY,5,0,0,0,0,0,0
2023,Barbados,Jamaica,BRB,JAM,0,5,0,0,0,0,0
2023,Barbados,"Venezuela (Bolivarian Republic of)",BRB,VEN,0,5,0,0,0,0,0
2019,Bahamas,Colombia,BHS,COL,5,0,0,0,0,0,0
2019,Bahamas,Cuba,BHS,CUB,5,5,0,0,0,0,0
2019,Bahamas,"South Africa",BHS,ZAF,0,8,0,0,0,0,0
2020,Bahamas,Cambodia,BHS,KHM,0,5,0,0,0,0,0
2020,Bahamas,Colombia,BHS,COL,5,0,0,0,0,0,0
2020,Bahamas,Cuba,BHS,CUB,5,0,0,0,0,0,0
2020,Bahamas,Jamaica,BHS,JAM,5,0,0,0,0,0,0
2020,Bahamas,"South Africa",BHS,ZAF,0,8,0,0,0,0,0
2021,Bahamas,Cameroon,BHS,CMR,5,0,0,0,0,0,0
2021,Bahamas,Cuba,BHS,CUB,0,5,0,0,0,0,0
2021,Bahamas,Jamaica,BHS,JAM,5,0,0,0,0,0,0
2021,Bahamas,"South Africa",BHS,ZAF,0,8,0,0,0,0,0
2024,Bahamas,Cameroon,BHS,CMR,5,0,0,0,0,0,0
2024,Bahamas,Cuba,BHS,CUB,5,7,0,0,0,0,723
2024,Bahamas,Jamaica,BHS,JAM,0,8,0,0,0,0,0
2024,Bahamas,"South Africa",BHS,ZAF,0,5,0,0,0,0,0
2023,Bahamas,Cambodia,BHS,KHM,0,5,0,0,0,0,0
2023,Bahamas,Cuba,BHS,CUB,0,11,0,0,0,0,723
2023,Bahamas,Haiti,BHS,HTI,0,5,0,0,0,0,0
2023,Bahamas,"South Africa",BHS,ZAF,0,5,0,0,0,0,0
2023,Bahamas,Uganda,BHS,UGA,0,5,0,0,0,0,0
2022,Bahamas,Cambodia,BHS,KHM,0,5,0,0,0,0,0
2022,Bahamas,Cameroon,BHS,CMR,5,0,0,0,0,0,0
2022,Bahamas,Cuba,BHS,CUB,0,11,0,0,0,0,723
2022,Bahamas,Haiti,BHS,HTI,0,5,0,0,0,0,0
2022,Bahamas,Jamaica,BHS,JAM,5,0,0,0,0,0,0
2022,Bahamas,"South Africa",BHS,ZAF,0,5,0,0,0,0,0
2022,Bahamas,Uganda,BHS,UGA,0,5,0,0,0,0,0
2019,Belize,Cuba,BLZ,CUB,0,5,0,0,0,0,0
2019,Belize,Guatemala,BLZ,GTM,0,422,0,0,0,0,0
2019,Belize,Honduras,BLZ,HND,5,448,0,0,0,0,0
2019,Belize,Nicaragua,BLZ,NIC,0,5,0,0,0,0,0
2019,Belize,Peru,BLZ,PER,0,5,0,0,0,0,0
2019,Belize,"El Salvador",BLZ,SLV,24,1259,0,0,0,0,0
2019,Belize,"Unknown ",BLZ,UNK,0,0,0,0,0,0,3390
2020,Belize,Cuba,BLZ,CUB,0,5,0,0,0,0,0
2020,Belize,Guatemala,BLZ,GTM,0,434,0,0,0,0,0
2020,Belize,Honduras,BLZ,HND,5,485,0,0,0,0,0
2020,Belize,Nicaragua,BLZ,NIC,0,11,0,0,0,0,0
2020,Belize,Peru,BLZ,PER,0,5,0,0,0,0,0
2020,Belize,"El Salvador",BLZ,SLV,24,1309,0,0,0,0,0
2020,Belize,"Unknown ",BLZ,UNK,0,0,0,0,0,0,3390
2021,Belize,Cuba,BLZ,CUB,0,5,0,0,0,0,0
2021,Belize,Guatemala,BLZ,GTM,0,416,0,0,0,0,0
2021,Belize,Honduras,BLZ,HND,11,433,0,0,0,0,0
2021,Belize,Nicaragua,BLZ,NIC,5,0,0,0,0,0,0
2021,Belize,Peru,BLZ,PER,0,5,0,0,0,0,0
2021,Belize,"El Salvador",BLZ,SLV,70,1156,0,0,0,0,0
2021,Belize,"Unknown ",BLZ,UNK,0,0,0,0,0,0,3452
2024,Belize,Cuba,BLZ,CUB,0,5,0,0,0,0,0
2024,Belize,Guatemala,BLZ,GTM,19,418,0,0,0,0,0
2024,Belize,Haiti,BLZ,HTI,0,9,0,0,0,0,0
2024,Belize,Honduras,BLZ,HND,95,438,0,0,0,0,0
2024,Belize,Nicaragua,BLZ,NIC,16,6,0,0,0,0,0
2024,Belize,"El Salvador",BLZ,SLV,156,1125,0,0,0,0,0
2023,Belize,Cuba,BLZ,CUB,0,5,0,0,0,0,0
2023,Belize,Guatemala,BLZ,GTM,6,409,0,0,0,0,0
2023,Belize,Haiti,BLZ,HTI,0,9,0,0,0,0,0
2023,Belize,Honduras,BLZ,HND,56,414,0,0,0,0,0
2023,Belize,Nicaragua,BLZ,NIC,12,5,0,0,0,0,0
2023,Belize,"El Salvador",BLZ,SLV,140,1131,0,0,0,0,0
2023,Belize,"Unknown ",BLZ,UNK,0,0,0,0,0,0,9452
2022,Belize,Cuba,BLZ,CUB,0,5,0,0,0,0,0
2022,Belize,Guatemala,BLZ,GTM,0,410,0,0,0,0,0
2022,Belize,Honduras,BLZ,HND,26,425,0,0,0,0,0
2022,Belize,Nicaragua,BLZ,NIC,7,0,0,0,0,0,0
2022,Belize,Peru,BLZ,PER,0,5,0,0,0,0,0
2022,Belize,"El Salvador",BLZ,SLV,112,1137,0,0,0,0,0
2022,Belize,"Unknown ",BLZ,UNK,0,0,0,0,0,0,9452
2019,Colombia,Afghanistan,COL,AFG,9,0,0,0,0,0,0
