Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2019,Canada,Barbados,CAN,BRB,230,106,0,0,0,0,0
2019,"United Kingdom of Great Britain and Northern Ireland",Barbados,GBR,BRB,13,5,0,0,0,0,0
2019,"United States of America",Barbados,USA,BRB,0,5,0,0,0,0,0
2020,Canada,Barbados,CAN,BRB,216,106,0,0,0,0,0
2020,"United Kingdom of Great Britain and Northern Ireland",Barbados,GBR,BRB,14,9,0,0,0,0,0
2020,"United States of America",Barbados,USA,BRB,0,5,0,0,0,0,0
2021,Canada,Barbados,CAN,BRB,250,74,0,0,0,0,0
2021,"United Kingdom of Great Britain and Northern Ireland",Barbados,GBR,BRB,15,17,0,0,0,0,0
2024,Canada,Barbados,CAN,BRB,397,604,0,0,0,0,0
2024,"United Kingdom of Great Britain and Northern Ireland",Barbados,GBR,BRB,18,11,0,0,0,0,0
2024,"United States of America",Barbados,USA,BRB,0,5,0,0,0,0,0
2023,Canada,Barbados,CAN,BRB,281,234,0,0,0,0,0
2023,"United Kingdom of Great Britain and Northern Ireland",Barbados,GBR,BRB,17,16,0,0,0,0,0
2023,"United States of America",Barbados,USA,BRB,0,5,0,0,0,0,0
2022,Canada,Barbados,CAN,BRB,216,202,0,0,0,0,0
2022,"United Kingdom of Great Britain and Northern Ireland",Barbados,GBR,BRB,15,19,0,0,0,0,0
2022,"United States of America",Barbados,USA,BRB,0,5,0,0,0,0,0
2019,Canada,Bahamas,CAN,BHS,310,418,0,0,0,0,0
2019,"United Kingdom of Great Britain and Northern Ireland",Bahamas,GBR,BHS,5,0,0,0,0,0,0
2019,Italy,Bahamas,ITA,BHS,5,0,0,0,0,0,0
2019,"South Africa",Bahamas,ZAF,BHS,0,14,0,0,0,0,0
2019,"United States of America",Bahamas,USA,BHS,181,96,0,0,0,0,0
2020,Canada,Bahamas,CAN,BHS,353,554,0,0,0,0,0
2020,"South Africa",Bahamas,ZAF,BHS,0,14,0,0,0,0,0
2020,"United States of America",Bahamas,USA,BHS,181,127,0,0,0,0,0
2021,Canada,Bahamas,CAN,BHS,555,404,0,0,0,0,0
2021,"South Africa",Bahamas,ZAF,BHS,0,14,0,0,0,0,0
2021,"United States of America",Bahamas,USA,BHS,181,240,0,0,0,0,0
2024,Canada,Bahamas,CAN,BHS,1274,839,0,0,0,0,0
2024,"United Kingdom of Great Britain and Northern Ireland",Bahamas,GBR,BHS,0,5,0,0,0,0,0
2024,"South Africa",Bahamas,ZAF,BHS,0,5,0,0,0,0,0
2024,"United States of America",Bahamas,USA,BHS,175,1758,0,0,0,0,0
2023,Canada,Bahamas,CAN,BHS,892,723,0,0,0,0,0
2023,"United Kingdom of Great Britain and Northern Ireland",Bahamas,GBR,BHS,0,5,0,0,0,0,0
2023,"United States of America",Bahamas,USA,BHS,175,1097,0,0,0,0,0
2022,Canada,Bahamas,CAN,BHS,603,788,0,0,0,0,0
2022,"South Africa",Bahamas,ZAF,BHS,0,7,0,0,0,0,0
2022,"United States of America",Bahamas,USA,BHS,178,415,0,0,0,0,0
2019,Canada,Belize,CAN,BLZ,19,10,0,0,0,0,0
2019,"United Kingdom of Great Britain and Northern Ireland",Belize,GBR,BLZ,5,0,0,0,0,0,0
2019,Ireland,Belize,IRL,BLZ,0,5,0,0,0,0,0
2019,Mexico,Belize,MEX,BLZ,6,24,0,0,0,0,0
2019,"United States of America",Belize,USA,BLZ,43,239,0,0,0,0,0
2020,Canada,Belize,CAN,BLZ,19,0,0,0,0,0,0
2020,"United Kingdom of Great Britain and Northern Ireland",Belize,GBR,BLZ,0,5,0,0,0,0,0
2020,Mexico,Belize,MEX,BLZ,10,30,0,0,0,0,0
